section,file,part,staff,notes,mean pitch,mean fret,max fret,range (midi),outcome
chorales,BWV_0625.gp5,Guitar I,Guitar I,101,62.8,2.8,10,53-74,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0625.gp5,Guitar II,Guitar II,143,62.1,3.0,13,47-77,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0625.gp5,Guitar III,Guitar III,157,58.3,1.9,7,47-71,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0625.gp5,Bass,Bass,131,36.9,1.4,4,28-46,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0626.gp5,Guitar I,Guitar I,39,68.9,5.2,10,66-74,left as it is - already sits well
chorales,BWV_0626.gp5,Guitar II,Guitar II,60,61.7,1.4,5,55-69,left as it is - already sits well
chorales,BWV_0626.gp5,Guitar III,Guitar III,66,57.0,1.7,4,45-67,left as it is - already sits well
chorales,BWV_0626.gp5,Bass,Bass,60,37.4,1.4,4,28-47,left as it is - already sits well
chorales,BWV_0627.gp5,Guitar I,Guitar I,123,66.1,3.7,10,60-74,left as it is - already sits well
chorales,BWV_0627.gp5,Guitar II,Guitar II,545,60.9,1.9,6,53-70,left as it is - already sits well
chorales,BWV_0627.gp5,Guitar III,Guitar IV,538,54.3,1.8,4,45-64,left as it is - already sits well
chorales,BWV_0627.gp5,Guitar IV,Guitar III,412,59.8,1.9,5,48-69,left as it is - already sits well
chorales,BWV_0627.gp5,Bass,Bass,42,47.4,5.4,10,38-53,left as it is - already sits well
chorales,BWV_0628.gp5,Guitar I,Guitar I,57,65.5,3.4,12,50-76,left as it is - already sits well
chorales,BWV_0628.gp5,Guitar II,Guitar II,92,61.7,2.4,10,50-74,left as it is - already sits well
chorales,BWV_0628.gp5,Guitar III,Guitar III,166,54.8,1.8,4,40-66,left as it is - already sits well
chorales,BWV_0628.gp5,Bass,Bass,45,46.4,6.9,12,38-55,left as it is - already sits well
chorales,BWV_0629.gp5,Guitar I,Guitar II,87,60.6,2.9,10,45-74,left as it is - already sits well
chorales,BWV_0629.gp5,Guitar II,Guitar III,141,56.3,1.5,4,45-65,left as it is - already sits well
chorales,BWV_0629.gp5,Guitar III,Guitar I,98,63.0,2.3,10,52-74,left as it is - already sits well
chorales,BWV_0629.gp5,Bass,Bass,43,43.0,2.4,7,36-50,left as it is - already sits well
chorales,BWV_0630.gp5,Guitar I,Guitar I,57,71.4,7.4,13,66-77,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0630.gp5,Guitar II,Guitar II,225,64.9,3.1,8,57-72,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0630.gp5,Guitar III,Guitar III,209,58.6,2.1,4,49-67,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0630.gp5,Bass,Bass,115,42.1,3.6,12,29-55,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0630a.gp5,Guitar I,Guitar III,153,62.6,3.0,10,52-74,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0630a.gp5,Guitar II,Guitar I,139,63.9,3.5,13,45-77,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0630a.gp5,Guitar III,Guitar II,158,63.1,3.3,10,46-74,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0630a.gp5,Guitar IV,Guitar IV,114,52.5,1.5,5,41-69,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0630a.gp5,Bass,Bass,41,49.1,7.6,12,38-55,left as it is - nothing lower fits without falling off the neck
chorales,BWV_0631.gp5,Guitar I,Guitar III,117,64.4,2.1,8,55-72,left as it is - already sits well
chorales,BWV_0631.gp5,Guitar II,Guitar I,34,69.8,7.4,13,60-76,left as it is - already sits well
chorales,BWV_0631.gp5,Guitar III,Guitar IV,129,56.5,1.3,4,48-64,left as it is - already sits well
chorales,BWV_0631.gp5,Guitar IV,Guitar II,11,64.5,1.4,3,59-67,left as it is - already sits well
chorales,BWV_0631.gp5,Bass,Bass,51,47.9,6.7,12,36-55,left as it is - already sits well
chorales,BWV_0631a.gp5,Guitar I,Guitar II,111,64.4,2.4,8,55-72,left as it is - already sits well
chorales,BWV_0631a.gp5,Guitar II,Guitar I,34,69.8,7.4,13,60-76,left as it is - already sits well
